PROVINCIA,TIPO DE CREDITO, MONTO OTORGADO ,TIPO CREDITO
LOJA,CONSUMO PRIORITARIO,49426278.5,CONSUMO
LOJA,EDUCATIVO,2128077.61,EDUCATIVO
LOJA,INMOBILIARIO,17687334.03,INMOBILIARIO
LOJA,INVERSION PUBLICA,4453948.26,INVERSION PUBLICA
LOJA,MICROCREDITO DE ACUMULACION AMPLIADA,37445791.65,MICROCREDITO
LOJA,MICROCREDITO DE ACUMULACION SIMPLE,51555570.61,MICROCREDITO
LOJA,MICROCREDITO MINORISTA,1786537.09,MICROCREDITO
LOJA,PRODUCTIVO CORPORATIVO,4800000,PRODUCTIVO
LOJA,PRODUCTIVO EMPRESARIAL,444000,PRODUCTIVO
LOJA,PRODUCTIVO PYMES,3344500,PRODUCTIVO
LOJA,VIVIENDA INTERES PUBLICO,705592.09,VIVIENDA INTERES PUBLICO
LOS RIOS,COMERCIAL ORDINARIO,533429.83,COMERCIAL
LOS RIOS,COMERCIAL PRIORITARIO CORPORATIVO,131331152.9,COMERCIAL
LOS RIOS,COMERCIAL PRIORITARIO EMPRESARIAL,51371723.3,COMERCIAL
LOS RIOS,COMERCIAL PRIORITARIO PYMES,60752236.85,COMERCIAL
LOS RIOS,CONSUMO ORDINARIO,2747073.97,CONSUMO
LOS RIOS,CONSUMO PRIORITARIO,55478506.96,CONSUMO
LOS RIOS,EDUCATIVO,389561.14,EDUCATIVO
LOS RIOS,INMOBILIARIO,4986979.52,INMOBILIARIO
LOS RIOS,INVERSION PUBLICA,4808441.87,INVERSION PUBLICA
LOS RIOS,MICROCREDITO DE ACUMULACION AMPLIADA,33337125.88,MICROCREDITO
LOS RIOS,MICROCREDITO DE ACUMULACION SIMPLE,66662666.68,MICROCREDITO
LOS RIOS,MICROCREDITO MINORISTA,7135779.22,MICROCREDITO
LOS RIOS,PRODUCTIVO CORPORATIVO,22130752.08,PRODUCTIVO
LOS RIOS,PRODUCTIVO EMPRESARIAL,7104876.04,PRODUCTIVO
LOS RIOS,PRODUCTIVO PYMES,2421155,PRODUCTIVO
LOS RIOS,VIVIENDA INTERES PUBLICO,2283040.09,VIVIENDA INTERES PUBLICO
MANABI,COMERCIAL ORDINARIO,1008206.36,COMERCIAL
MANABI,COMERCIAL PRIORITARIO CORPORATIVO,492497598,COMERCIAL
MANABI,COMERCIAL PRIORITARIO EMPRESARIAL,69618332.32,COMERCIAL
MANABI,COMERCIAL PRIORITARIO PYMES,102721203.4,COMERCIAL
MANABI,CONSUMO ORDINARIO,12307072.48,CONSUMO
MANABI,CONSUMO PRIORITARIO,111897990,CONSUMO
MANABI,EDUCATIVO,1828736.68,EDUCATIVO
MANABI,INMOBILIARIO,19389870.41,INMOBILIARIO
MANABI,INVERSION PUBLICA,63918347.82,INVERSION PUBLICA
MANABI,MICROCREDITO DE ACUMULACION AMPLIADA,53862071.65,MICROCREDITO
MANABI,MICROCREDITO DE ACUMULACION SIMPLE,148890304.5,MICROCREDITO
MANABI,MICROCREDITO MINORISTA,6197483.12,MICROCREDITO
MANABI,PRODUCTIVO CORPORATIVO,61850388.49,PRODUCTIVO
MANABI,PRODUCTIVO EMPRESARIAL,5449802,PRODUCTIVO
MANABI,PRODUCTIVO PYMES,9194239.91,PRODUCTIVO
MANABI,VIVIENDA INTERES PUBLICO,12505962.29,VIVIENDA INTERES PUBLICO
MORONA,COMERCIAL PRIORITARIO CORPORATIVO,40490,COMERCIAL
MORONA,COMERCIAL PRIORITARIO EMPRESARIAL,553349.95,COMERCIAL
MORONA,COMERCIAL PRIORITARIO PYMES,2320668.74,COMERCIAL
MORONA,CONSUMO ORDINARIO,135901.88,CONSUMO
MORONA,CONSUMO PRIORITARIO,6558495.67,CONSUMO
MORONA,EDUCATIVO,12076.28,EDUCATIVO
MORONA,INMOBILIARIO,1341472.69,INMOBILIARIO
MORONA,INVERSION PUBLICA,4549274.5,INVERSION PUBLICA
MORONA,MICROCREDITO DE ACUMULACION AMPLIADA,15923755.42,MICROCREDITO
MORONA,MICROCREDITO DE ACUMULACION SIMPLE,11493325.04,MICROCREDITO
MORONA,MICROCREDITO MINORISTA,2245312.48,MICROCREDITO
MORONA,PRODUCTIVO PYMES,310000,PRODUCTIVO
MORONA,VIVIENDA INTERES PUBLICO,168189.81,VIVIENDA INTERES PUBLICO
NAPO,COMERCIAL PRIORITARIO CORPORATIVO,1541704.65,COMERCIAL
NAPO,COMERCIAL PRIORITARIO EMPRESARIAL,528944.27,COMERCIAL
NAPO,COMERCIAL PRIORITARIO PYMES,1025738.89,COMERCIAL
NAPO,CONSUMO ORDINARIO,205914.25,CONSUMO
NAPO,CONSUMO PRIORITARIO,4445608.14,CONSUMO
NAPO,EDUCATIVO,14124.46,EDUCATIVO
NAPO,INMOBILIARIO,1489212.88,INMOBILIARIO
NAPO,INVERSION PUBLICA,2044047,INVERSION PUBLICA
NAPO,MICROCREDITO DE ACUMULACION AMPLIADA,7043528.44,MICROCREDITO
NAPO,MICROCREDITO DE ACUMULACION SIMPLE,10857589.34,MICROCREDITO
NAPO,MICROCREDITO MINORISTA,360302.29,MICROCREDITO
ORELLANA,COMERCIAL ORDINARIO,112967.14,COMERCIAL
ORELLANA,COMERCIAL PRIORITARIO CORPORATIVO,558556.17,COMERCIAL
ORELLANA,COMERCIAL PRIORITARIO EMPRESARIAL,1648951.66,COMERCIAL
ORELLANA,COMERCIAL PRIORITARIO PYMES,6611126.09,COMERCIAL
ORELLANA,CONSUMO ORDINARIO,559085.04,CONSUMO
ORELLANA,CONSUMO PRIORITARIO,15805946.43,CONSUMO
ORELLANA,INMOBILIARIO,1054014.61,INMOBILIARIO
ORELLANA,INVERSION PUBLICA,18011585.74,INVERSION PUBLICA
ORELLANA,MICROCREDITO DE ACUMULACION AMPLIADA,8341719.89,MICROCREDITO
ORELLANA,MICROCREDITO DE ACUMULACION SIMPLE,13170381.74,MICROCREDITO
ORELLANA,MICROCREDITO MINORISTA,758095.86,MICROCREDITO
ORELLANA,PRODUCTIVO CORPORATIVO,1550000,PRODUCTIVO
ORELLANA,PRODUCTIVO EMPRESARIAL,2410842.03,PRODUCTIVO
ORELLANA,PRODUCTIVO PYMES,4377011.16,PRODUCTIVO
PASTAZA,COMERCIAL PRIORITARIO CORPORATIVO,37888329.2,COMERCIAL
PASTAZA,COMERCIAL PRIORITARIO EMPRESARIAL,1961655.8,COMERCIAL
PASTAZA,COMERCIAL PRIORITARIO PYMES,1745171,COMERCIAL
PASTAZA,CONSUMO ORDINARIO,679358.51,CONSUMO
PASTAZA,CONSUMO PRIORITARIO,3583707.82,CONSUMO
PASTAZA,EDUCATIVO,300231.35,EDUCATIVO
PASTAZA,INMOBILIARIO,1974075.79,INMOBILIARIO
PASTAZA,INVERSION PUBLICA,20498746.03,INVERSION PUBLICA
PASTAZA,MICROCREDITO DE ACUMULACION AMPLIADA,4030749.06,MICROCREDITO
PASTAZA,MICROCREDITO DE ACUMULACION SIMPLE,5048493.9,MICROCREDITO
PASTAZA,MICROCREDITO MINORISTA,306673.04,MICROCREDITO
PASTAZA,PRODUCTIVO EMPRESARIAL,35000,PRODUCTIVO
PASTAZA,PRODUCTIVO PYMES,506000,PRODUCTIVO
PASTAZA,VIVIENDA INTERES PUBLICO,237300,VIVIENDA INTERES PUBLICO
PICHINCHA,COMERCIAL ORDINARIO,768163528.6,COMERCIAL
PICHINCHA,COMERCIAL PRIORITARIO CORPORATIVO,4938708396,COMERCIAL
PICHINCHA,COMERCIAL PRIORITARIO EMPRESARIAL,701999288.8,COMERCIAL
PICHINCHA,COMERCIAL PRIORITARIO PYMES,691125356.3,COMERCIAL
PICHINCHA,CONSUMO ORDINARIO,53820247.85,CONSUMO
PICHINCHA,CONSUMO PRIORITARIO,748161031,CONSUMO
PICHINCHA,EDUCATIVO,26697310.01,EDUCATIVO
PICHINCHA,INMOBILIARIO,209831985.9,INMOBILIARIO
PICHINCHA,INVERSION PUBLICA,11291557.72,INVERSION PUBLICA
PICHINCHA,MICROCREDITO DE ACUMULACION AMPLIADA,107816198.1,MICROCREDITO
PICHINCHA,MICROCREDITO DE ACUMULACION SIMPLE,360454947.1,MICROCREDITO
PICHINCHA,MICROCREDITO MINORISTA,40729885.89,MICROCREDITO
PICHINCHA,PRODUCTIVO CORPORATIVO,385703707.3,PRODUCTIVO
PICHINCHA,PRODUCTIVO EMPRESARIAL,71978463.91,PRODUCTIVO
PICHINCHA,PRODUCTIVO PYMES,28971302.89,PRODUCTIVO
PICHINCHA,VIVIENDA INTERES PUBLICO,45601185.16,VIVIENDA INTERES PUBLICO
SANTA ELENA,COMERCIAL ORDINARIO,88740.48,COMERCIAL
SANTA ELENA,COMERCIAL PRIORITARIO CORPORATIVO,6387741.75,COMERCIAL
SANTA ELENA,COMERCIAL PRIORITARIO EMPRESARIAL,9714402.64,COMERCIAL
SANTA ELENA,COMERCIAL PRIORITARIO PYMES,7221763.74,COMERCIAL
SANTA ELENA,CONSUMO ORDINARIO,1206279.12,CONSUMO
SANTA ELENA,CONSUMO PRIORITARIO,25556225.96,CONSUMO
SANTA ELENA,EDUCATIVO,82462.61,EDUCATIVO
SANTA ELENA,INMOBILIARIO,4217256.41,INMOBILIARIO
SANTA ELENA,INVERSION PUBLICA,2948296.36,INVERSION PUBLICA
SANTA ELENA,MICROCREDITO DE ACUMULACION AMPLIADA,4044831.07,MICROCREDITO
SANTA ELENA,MICROCREDITO DE ACUMULACION SIMPLE,25135475.99,MICROCREDITO
SANTA ELENA,MICROCREDITO MINORISTA,860109.03,MICROCREDITO
SANTA ELENA,PRODUCTIVO CORPORATIVO,8700000,PRODUCTIVO
SANTA ELENA,PRODUCTIVO EMPRESARIAL,9308290,PRODUCTIVO
SANTA ELENA,PRODUCTIVO PYMES,399305.43,PRODUCTIVO
SANTA ELENA,VIVIENDA INTERES PUBLICO,91179.59,VIVIENDA INTERES PUBLICO
SANTO DOMINGO LOS TSACHILAS,COMERCIAL ORDINARIO,980636.29,COMERCIAL
SANTO DOMINGO LOS TSACHILAS,COMERCIAL PRIORITARIO CORPORATIVO,92577828.89,COMERCIAL
SANTO DOMINGO LOS TSACHILAS,COMERCIAL PRIORITARIO EMPRESARIAL,32739400.92,COMERCIAL
SANTO DOMINGO LOS TSACHILAS,COMERCIAL PRIORITARIO PYMES,42844434.65,COMERCIAL
SANTO DOMINGO LOS TSACHILAS,CONSUMO ORDINARIO,8453466.95,CONSUMO
SANTO DOMINGO LOS TSACHILAS,CONSUMO PRIORITARIO,44245800.97,CONSUMO
SANTO DOMINGO LOS TSACHILAS,EDUCATIVO,279106.59,EDUCATIVO
SANTO DOMINGO LOS TSACHILAS,INMOBILIARIO,7321577.8,INMOBILIARIO
SANTO DOMINGO LOS TSACHILAS,INVERSION PUBLICA,3185135.71,INVERSION PUBLICA
SANTO DOMINGO LOS TSACHILAS,MICROCREDITO DE ACUMULACION AMPLIADA,18298473.27,MICROCREDITO
SANTO DOMINGO LOS TSACHILAS,MICROCREDITO DE ACUMULACION SIMPLE,50224244.91,MICROCREDITO
SANTO DOMINGO LOS TSACHILAS,MICROCREDITO MINORISTA,1990135.79,MICROCREDITO
SANTO DOMINGO LOS TSACHILAS,PRODUCTIVO CORPORATIVO,5270000,PRODUCTIVO
SANTO DOMINGO LOS TSACHILAS,PRODUCTIVO EMPRESARIAL,4648289.16,PRODUCTIVO
SANTO DOMINGO LOS TSACHILAS,PRODUCTIVO PYMES,5038791.16,PRODUCTIVO
SANTO DOMINGO LOS TSACHILAS,VIVIENDA INTERES PUBLICO,7249521.88,VIVIENDA INTERES PUBLICO
SUCUMBIOS,COMERCIAL ORDINARIO,131926.85,COMERCIAL
SUCUMBIOS,COMERCIAL PRIORITARIO CORPORATIVO,1869523,COMERCIAL
SUCUMBIOS,COMERCIAL PRIORITARIO EMPRESARIAL,4713037.01,COMERCIAL
SUCUMBIOS,COMERCIAL PRIORITARIO PYMES,10187159.57,COMERCIAL
SUCUMBIOS,CONSUMO ORDINARIO,401957.74,CONSUMO
SUCUMBIOS,CONSUMO PRIORITARIO,16830310.24,CONSUMO
SUCUMBIOS,INMOBILIARIO,1001955.08,INMOBILIARIO
SUCUMBIOS,INVERSION PUBLICA,3138142.4,INVERSION PUBLICA
SUCUMBIOS,MICROCREDITO DE ACUMULACION AMPLIADA,17084890.67,MICROCREDITO
SUCUMBIOS,MICROCREDITO DE ACUMULACION SIMPLE,23466383.66,MICROCREDITO
SUCUMBIOS,MICROCREDITO MINORISTA,1087548.63,MICROCREDITO
SUCUMBIOS,PRODUCTIVO CORPORATIVO,1213000,PRODUCTIVO
SUCUMBIOS,PRODUCTIVO EMPRESARIAL,891144.23,PRODUCTIVO
SUCUMBIOS,PRODUCTIVO PYMES,2163897.48,PRODUCTIVO
TUNGURAHUA,COMERCIAL ORDINARIO,76247882.38,COMERCIAL
TUNGURAHUA,COMERCIAL PRIORITARIO CORPORATIVO,209064666.5,COMERCIAL
TUNGURAHUA,COMERCIAL PRIORITARIO EMPRESARIAL,64085837.89,COMERCIAL
TUNGURAHUA,COMERCIAL PRIORITARIO PYMES,74725643.26,COMERCIAL
TUNGURAHUA,CONSUMO ORDINARIO,6758394.06,CONSUMO
TUNGURAHUA,CONSUMO PRIORITARIO,70360391.7,CONSUMO
TUNGURAHUA,EDUCATIVO,1167422,EDUCATIVO
TUNGURAHUA,INMOBILIARIO,17196256.54,INMOBILIARIO
TUNGURAHUA,INVERSION PUBLICA,6445118.04,INVERSION PUBLICA
TUNGURAHUA,MICROCREDITO DE ACUMULACION AMPLIADA,31524206.1,MICROCREDITO
TUNGURAHUA,MICROCREDITO DE ACUMULACION SIMPLE,43098940.01,MICROCREDITO
TUNGURAHUA,MICROCREDITO MINORISTA,1512815.2,MICROCREDITO
TUNGURAHUA,PRODUCTIVO CORPORATIVO,33891381.86,PRODUCTIVO
TUNGURAHUA,PRODUCTIVO EMPRESARIAL,10515600.81,PRODUCTIVO
TUNGURAHUA,PRODUCTIVO PYMES,6917644.53,PRODUCTIVO
TUNGURAHUA,VIVIENDA INTERES PUBLICO,5749294.18,VIVIENDA INTERES PUBLICO
ZAMORA,COMERCIAL ORDINARIO,35000,COMERCIAL
ZAMORA,COMERCIAL PRIORITARIO CORPORATIVO,15000,COMERCIAL
ZAMORA,COMERCIAL PRIORITARIO EMPRESARIAL,2097133.47,COMERCIAL
ZAMORA,COMERCIAL PRIORITARIO PYMES,4006681.33,COMERCIAL
ZAMORA,CONSUMO ORDINARIO,769282.99,CONSUMO
ZAMORA,CONSUMO PRIORITARIO,5300473.27,CONSUMO
ZAMORA,EDUCATIVO,28711.65,EDUCATIVO
ZAMORA,INMOBILIARIO,1942281.96,INMOBILIARIO
ZAMORA,INVERSION PUBLICA,163050.82,INVERSION PUBLICA
ZAMORA,MICROCREDITO DE ACUMULACION AMPLIADA,13503969.02,MICROCREDITO
ZAMORA,MICROCREDITO DE ACUMULACION SIMPLE,11311878.03,MICROCREDITO
ZAMORA,MICROCREDITO MINORISTA,357811.03,MICROCREDITO
ZAMORA,PRODUCTIVO PYMES,781800,PRODUCTIVO
ZAMORA,VIVIENDA INTERES PUBLICO,131300,VIVIENDA INTERES PUBLICO
